club,name,position,age,overall,nationality,image,Unnamed: 7
Chelsea,C. Nkunku,ATA MEI ATA,25,86,France,/232/411/24_180.png,
Chelsea,Thiago Silva,ZAG,38,84,Brazil,/164/240/24_180.png,
Chelsea,R. Lukaku,ATA,30,84,Belgium,/192/505/24_180.png,
Chelsea,E. Fernández,MC VOL MEI,22,83,Argentina,/247/090/24_180.png,
Chelsea,R. James,LD LD,23,83,England,/238/074/24_180.png,
Chelsea,R. Sterling,ME PD ATA,28,83,England,/202/652/24_180.png,
Chelsea,Kepa,GOL,28,81,Spain,/206/585/24_180.png,
Chelsea,H. Ziyech,MD MEI,30,80,Morocco,/208/670/24_180.png,
Chelsea,B. Chilwell,LE LE,26,80,England,/229/984/24_180.png,
Chelsea,M. Caicedo,VOL MC,21,80,Ecuador,/256/079/24_180.png,
Chelsea,Robert Sánchez,GOL,25,79,Spain,/228/789/24_180.png,
Chelsea,W. Fofana,ZAG,22,79,France,/248/695/24_180.png,
Chelsea,C. Gallagher,MC MEI VOL,23,79,England,/238/216/24_180.png,
Chelsea,Cucurella,LE ZAG LE,24,79,Spain,/239/231/24_180.png,
Chelsea,A. Disasi,ZAG,25,79,France,/229/942/24_180.png,
Chelsea,N. Jackson,ATA,22,78,Senegal,/259/197/24_180.png,
Chelsea,B. Badiashile,ZAG,22,78,France,/242/578/24_180.png,
Chelsea,M. Gusto,LD,20,76,France,/259/307/24_180.png,
Chelsea,T. Chalobah,ZAG LD VOL,23,76,England,/230/918/24_180.png,
Chelsea,L. Colwill,ZAG LE,20,76,England,/262/859/24_180.png,
Chelsea,N. Madueke,MD PD,21,76,England,/254/796/24_180.png,
Chelsea,A. Broja,ATA,21,75,Albania,/256/268/24_180.png,
Chelsea,M. Mudryk,PE ME,22,75,Ukraine,/246/340/24_180.png,
Chelsea,I. Maatsen,LE LE,21,74,Netherlands,/248/465/24_180.png,
Chelsea,Đ. Petrović,GOL,23,74,Serbia,/269/626/24_180.png,
Chelsea,L. Ugochukwu,MC VOL,19,73,France,/257/084/24_180.png,
Chelsea,R. Lavia,VOL,19,73,Belgium,/263/620/24_180.png,
Chelsea,M. Sarr,ZAG LE,24,73,France,/235/454/24_180.png,
Chelsea,C. Palmer,MD PD MEI,21,71,England,/257/534/24_180.png,
Chelsea,M. Bettinelli,GOL,31,70,England,/204/246/24_180.png,
Chelsea,Andrey Santos,MC VOL,19,70,Brazil,/273/018/24_180.png,
Chelsea,D. Fofana,ATA,20,70,Ivory Coast,/260/942/24_180.png,
Chelsea,Ângelo,PD PE,18,69,Brazil,/272/829/24_180.png,
Chelsea,G. Slonina,GOL,19,68,United States,/248/158/24_180.png,
Chelsea,Diego Moreira,ME MD,18,67,Portugal,/270/039/24_180.png,
Chelsea,Deivid Washington,ATA PE,18,67,Brazil,/277/795/24_180.png,
Chelsea,C. Casadei,MC MEI,20,67,Italy,/273/883/24_180.png,
Chelsea,L. Hall,LE MC,18,66,England,/266/127/24_180.png,
Chelsea,T. Anjorin,MEI,21,66,England,/248/474/24_180.png,
Chelsea,C. Chukwuemeka,MC MEI PE,19,65,England,/259/356/24_180.png,
Chelsea,B. Humphreys,ZAG,20,65,England,/272/777/24_180.png,
Chelsea,D. Williams,LE LE,19,61,England,/264/115/24_180.png,
Chelsea,J. Brooking,ZAG LD,20,60,England,/257/239/24_180.png,
